System Key,System Name,Solution,Vendor,Application Type,Technology,System Role,Tribe,Is NonTarget System,Status,Criticality Level,Description Geo,Description Eng,Business Domains
276,DirectDebitRegistration,,AzRy,Web App,Java,Adapter,Payments,Yes,Under Development,Normal,"ინტერნეტიდან დაირექტ დებეტის რეგისტრაციის ვებ გვერდი ",DirectDebit Regsitration for customers from Internet,"Payments (FT, Bill Payments, Remittances)||Self Service Channels"
277,www.tbcbusiness.ge,,TBC Solutions,Web App,.Net,Front,MSME,No,Active,Normal,ვებ გვერდი სმი სეგმენტისთვის,Web Site for SME segment,Credit Product Origination||Self Service Channels||Others
278,TBC EXT,,TBC Solutions,DB App,.Net,Master,Ent Serv,Yes,Active,Normal,"აღრიცხავს თანამშრომლის მიერ განხორციელებული სატელოფონ საუბრების დროებს და ლიმიტებს, ახორციელებს გარკვეული სახის ინტეგრაციებს ჰრ სისტემასა და სხვა სისტემებს შორის","Manages emplloyee calls time and limit, makes some integration between hr system and other systems",HRM
279,BP ETL,,TBC Solutions,ETL,.Net,Adapter,CIB,Yes,Active,Normal,კომპანია BP-ს უგზავნის ბიზნეს ბარათების ტრანზაქციებს მათ ფორმატში,send business card transaction to BP company in custom format,Card Payments
280,Subscribtions,,TBC Solutions,App,.Net,Master,Daily Operations,No,Active,Critical,სატარიფო პაკეტების ახალი მოდული,New Product subscription system,"CASA||Term Deposits||Debit Cards||Credit Cards||Payments (FT, Bill Payments, Remittances)||Product Bundling & Pricing"
281,TBC Concept,,TBC Solutions,Web App,.Net,Front,Daily Operations,No,Under Development,Normal,თიბისი კონცეპტის ვებ გვერდი,Web Site for TBC Concept service,Others
282,CIBWeb,,TBC Solutions,App,.Net,Front,CIB,No,Under Development,Normal,კორპორატიული მენეჯერების ანალიტიკური სისტემა,Analitical system for coprorate managers,"CRM (Customer Relationship, Offering, Sales)"
283,Sigmatics,,TBC Solutions,App,.Net,Master,Risks,No,Under Development,Normal,კორპორატიული კლიენტების რეიტინგების და რისკ ჯგუფების აღრიცხვის სისტემა,Accounts corporate customer ratings and risk groups,Credit Product Origination
284,Bulk Importer,,Alta Software,App,.Net,Mediator,Platform Systems,No,Active,Normal,სისტემებში სხვდასხვა ოპერაციების ჯგუფურად ატვირთვის პლათფორმა,Enables to make batch changes in bank systems,Others
285,OB API Gateway,OpenAPI,TBC Solutions,App,.Net,Adapter,Platforms,No,Active,Normal,უზრუნველყოფს ბანკის სისტემებას და სხვა ფინანსურ ინსტიტუტების ოუფენ ბანკინგ სისტემებს შორის კავშირს,Enables connectivity between banking systems and other finnacial intitutions's open banking systems,Integration
286,TBCFrontX,TBCFrontX,TBC Solutions,App,.Net,Front,Daily Operations,No,Active,Key,ახორიცელებს სხვადასხვა ფრონტენდების ინკაფსულაციას ერთიან ფრონტალურ ფანჯარაში,Incapsulates bank different frontend systems and provides unified access to bank users,"Branch FEs (Call Centre, Branch, Back Office)"
287,Revelock (Buguroo),,Revelock,App,,Master,Digital,No,Active,Key,"ფროდის აღმოჩენისა და რეაგირების სისტემა ქცევითი ანალიზის საშუალებით.  ასევე წარმოადგენს პლათფორმას - ფიშინგის და მავნე პროგრამების (malware) აღმოჩენა პრევენციისათვის,  ასევე რევერსული ინჟინერიის წინააღმდეგ.","fraud detection and response platform based on behavior analysis, also banking malware detection and prevention,  Phishing prevention, Jailbreak/Root detection and prevention,, Code obfuscation and reverse engineering prevention",Op Rsiks & Security
288,Consent Management System,,TBC Solutions,App,.Net,Master,Platforms,No,Active,Normal,მომხმარებლის სხვადასხვა ტიპის თანხმობების ცენტრალიზებული აღრიცხვისა და მართვის მოდული,System which manages and centralises various type   consents gave by customer to the bank,Government & Regulatory||Op Rsiks & Security||Open Banking
289,MC Settlement,,TBC Solutions,App,.Net,Master,Payments,No,Under Development,Normal,Mastercard-თან ანგარიშსწორების მოდული,Module for Settlement to Mastercard,Debit Cards
290,Retail Multichannel,,TBC Solutions,Web App,.Net,Front,Digital,No,Active,Critical,"Retail მულტიჩანელი (ინტ. ბანკი, მობაილ ბანკი)","Retail Multichannel system (Internet Banking, Mobile Banking)",Self Service Channels
291,Tap2Phone,,SoftPos,Web App,,Master||Front,Payments,No,Active,Key,"სავაჭრო ობიექტში ბარათით გადახდის ფუნქციონალი ანდროიდ აპლიკაციის საშუალებით ","Merchant Card Payement functionality via Android App ","Debit Cards||Payments (FT, Bill Payments, Remittances)||Self Service Channels"
292,FMRS,,TBC Solutions,Web App,.Net,Master||Reporting,Ent Serv,No,Active,Normal,"საეჭვო ოპერაციების გამოვლენის მოდული. გამოიყენება ეროვნულ ბანკში საეჭვო ოპერაციების შესახებ ინფორმაციის გასაგზავნად ",Detects and sends information about doubtful operations to the FMS (Financial Monitoring Service),Compliance
293,RS.Transaction.Sender,,TBC Solutions,Web Service,.Net,Adapter,Daily Operations,No,Active,Normal,აგზავნის საბიუჯეტო გადარიცხვების ტრანზაციების ინფორმაციას შემოსავლების სამსახურში,send budget payment transactions to revenue service,"Government & Regulatory||Payments (FT, Bill Payments, Remittances)"
294,DBS Deposit,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი დეპოზიტების დომენისთვის,Mediator Microservice for digital banking covering deposit domain,Term Deposits||Self Service Channels
295,DBS Open Banking,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი ღია ბანკინგის დომენისთვის,Mediator Microservice for digital banking covering Open Banking domain,Self Service Channels
296,DBS Account,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი ანგარიშების დომენისთვის,Mediator Microservice for digital banking covering Account domain,Self Service Channels
297,DBS Card,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი ბარათების დომენისთვის,Mediator Microservice for digital banking covering Cards domain,Self Service Channels
298,DBS Loan,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი სესხების დომენისთვის,Mediator Microservice for digital banking covering Loan domain,Self Service Channels
299,DBS Transfer,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი გადარიცხვების დომენისთვის,Mediator Microservice for digital banking covering Transfer domain,Self Service Channels
300,DBS FX,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი კონვერტაციების დომენისთვის,Mediator Microservice for digital banking covering FX domain,Self Service Channels
301,DBS SME Clients,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი სმე/კორპორატიული კლიენტების დომენისთვის,Mediator Microservice for digital banking covering SME/Corporate Customer domain,Self Service Channels
302,DBS Retail Clients,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი ფიზიკური კლიენტის დომენისთვის,Mediator Microservice for digital banking covering individual customer domain,Self Service Channels
303,DBS Loan Application,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი საცალო სესხების განაცხადების დომენისთვის,Mediator Microservice for digital banking covering Retail Loan Appplication domain,Self Service Channels
304,DBS Pensions,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Key,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი საპენსიო ფონდის დომენისთვის,Mediator Microservice for digital banking covering Pension Fund domain,Self Service Channels
305,DBS Loyalty,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი ლოიალურობის დომენისთვის,Mediator Microservice for digital banking covering Customer loyality domain,Self Service Channels
306,DBS Money Transfers,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი ფულადი გზავნილების დომენისთვის,Mediator Microservice for digital banking covering Money Transfer domain,Self Service Channels
307,DBS CashOperation,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი ნაღდი ფულის ოპერაციების დომენისთვის,Mediator Microservice for digital banking covering Cash Operation domain,Self Service Channels
308,DBS Device Management,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი კლიენტის მოწყობილობების დომენისთვის,Mediator Microservice for digital banking covering Customer Device domain,Self Service Channels
309,DBS CRM,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი CRM დომენისთვის,Mediator Microservice for digital banking covering CRM domain,Self Service Channels
310,FBS Transfer,FBS,TBC Solutions,Web Service,.Net,Mediator,Daily Operations,No,Active,Key," თანამშრომლების სამომხმარებლო ფრონტენდების მედიატორული მოკროსერვისი გადრიცხვების დომენისთვის",Mediadot Microservice for Branch Frontends Covering Transfer Domain,"Branch FEs (Call Centre, Branch, Back Office)"
311,FBS Cashout,FBS,TBC Solutions,Web Service,.Net,Mediator,Daily Operations,No,Active,Key," თანამშრომლების სამომხმარებლო ფრონტენდების მედიატორული მოკროსერვისი თანხის გატანის დომენისთვის",Mediadot Microservice for Branch Frontends Covering Cash Out Domain,"Branch FEs (Call Centre, Branch, Back Office)"
312,FBS CashIn,FBS,TBC Solutions,Web Service,.Net,Mediator,Daily Operations,No,Active,Key," თანამშრომლების სამომხმარებლო ფრონტენდების მედიატორული მოკროსერვისი თანხის შეტანის დომენისთვის",Mediadot Microservice for Branch Frontends Covering Cash In Domain,"Branch FEs (Call Centre, Branch, Back Office)"
313,FBS Digital Operation Info,FBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Key," თანამშრომლების სამომხმარებლო ფრონტენდების მედიატორული მოკროსერვისი დიჯიტალ ოპერაციების დომენისთვის",Mediadot Microservice for Branch Frontends Covering Digital Operation Domain,"Branch FEs (Call Centre, Branch, Back Office)"
314,Import-Export,B6,Alta Software,Web Service,Delphi,Master||Front,Platform Systems,No,Active,Critical,გადარიცხვების იმპორტ-ექსპორტი B6-დან Swift-ში და ეროვნული ბანკის გადარიცხვების სისტემაში,Transfers import-export from B6 to Swift and NBG Transfer system
315,Incasso-sequestration module,B6,Alta Software,Web Service,.Net,Master,Platform Systems,No,Active,Critical,ინკასოების და ყადაღების მართვის მოდული,Incasso-sequestration module
316,TerroristsService,B6,Alta Software,Web Service,.Net,Master,Platform Systems,No,Active,Critical,ტერირისტების აღრიცხვის სერვისი,Terrorist accounting system,Compliance
317,Alta Billing Module,B6,Alta Software,Web Service,.Net,Master,Platform Systems,No,Active,Key,საკომისიოების ბილინგის მოდული,Commission payment billing module,Debt Management
318,Alta Commissions Module,B6,Alta Software,Web Service,.Net,Master,Platform Systems,No,Active,Key,საკომისიობის დარიცხვის მოდული,Commission Accounting moudle,Product Bundling & Pricing
319,ApmaService,LMS,Alta Software,Web Service,.Net,Adapter,Platform Systems,No,Active,Key,Apma პროგრამით სესხების გაცემის საინტეგრეაციო სისტემა,Integration system for Apma Loan approval and monitoring,Integration
320,Transfers,B7,Alta Software,Web Service,.Net,Master,Platform Systems,No,Active,Critical,გადარიცხვების დამუშავების მიკროსერვის,Transfers Processing Microservice,"Payments (FT, Bill Payments, Remittances)"
321,BM Core,B7,Alta Software,Web Service,.Net,Master,Platform Systems,No,Active,Critical,ანგარიშებზე ხელმისაწვდომი ნაშთების და ტრანზაქციული ბლოკების აღრიცხვის მოდული,Account Available  balance and Transaction block accounting system,CASA||Debit Cards
322,CTA,B7,Alta Software,Web Service,.Net,Master,Platform Systems,No,Active,Critical,ბარათების ტრანზაქციების ონლაინ პროცეისნგის სისტემა,Onlaine Card Transaction Processing system,Debit Cards||Credit Cards||Card Payments
323,FX,B7,Alta Software,Web Service,.Net,Master,Platform Systems,No,Active,Critical,კონვერტაციების დამუშავების მიკროსერვისი,FX Processing Microservice
324,FrontX Transfer,TBCFrontX,TBC Solutions,Web Service,.Net,Front,Daily Operations,No,Active,Critical,"გადარიცხვების მიკროფრონტენდი ფილიალის თანამშრომლებისთვის ",Tranfer Microfrontend for Branch,"Branch FEs (Call Centre, Branch, Back Office)"
325,FrontX Cashin,TBCFrontX,TBC Solutions,Web Service,.Net,Front,Daily Operations,No,Active,Critical,"თანხის შეტანის მიკროფრონტენდი ფილიალის თანამშრომლებისთვის ",Cashin Microfrontend for Branch,"Branch FEs (Call Centre, Branch, Back Office)"
326,FrontX Cashout,TBCFrontX,TBC Solutions,Web Service,.Net,Front,Daily Operations,No,Active,Critical,"თანხის გასავლის მიკროფრონტენდი ფილიალის თანამშრომლებისთვის ",Cashout  Microfrontend for Branch,"Branch FEs (Call Centre, Branch, Back Office)"
327,FrontX Digital Operations,TBCFrontX,TBC Solutions,Web Service,.Net,Front,Digital,No,Under Development,Critical,"დიჯიტალ ოპერციების მიკროფრონტენდი ფილიალის თანამშრომლებისთვის ",Digital Operation Microfrontend for Branch,"Branch FEs (Call Centre, Branch, Back Office)"
328,Big Data,Big Data,TBC Solutions,DB App,,Reporting,Platforms,No,Active,Critical,BigData პლათფორმა,Big Data Platform,DW & Analytics
329,Feature Store,,TBC Solutions,App,,Reporting,Platforms,No,Active,Normal," მონაცემთა საცავი ონლაინ ანალიტიკური ამოცანებისთვის, რომლის ძირითადი მიზანია უფრო ფართო MLOps პროცესის ფარგლებში დაასტანდარტიზიროს და გაამარტივოს ურთიერთობა მონაცემთა ინჟინრებს, მონაცემთა მეცნიერებსა და იმ software დეველოპერებს შორის, რომლებიც ანალიტიკურ ","Data Storage system for analytical tasks, aimed to make easear interaction between data scientists, data engineers and software developers within MLOps scope in order to integrate analytical system with bank operational systems",DW & Analytics
330,Transaction Categorization Engine,,TBC Solutions,Web Service,.Net,Master,Digital,No,Active,Normal,ახდენს კლიენტის ტრანზაქციების კატეგორიზაციას,makes Customer Transaction Categorization,Others
331,DBS PFM,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Normal,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი ტრანზაქციების კატეგორიზაციის დომენისთვის,Mediator Microservice for digital banking covering Transfer Categorization Domain,Self Service Channels
332,LOS CIB,LOS,FICO,Web App,Outsystems,Master||Mediator||Front,CIB,No,Active,Critical,"სესხის განაცხადების დამუშავების სისტემა კორპორატიული სეგმენტისთვის ",Loan Application approval system for Corporate Segment,"Credit Product Origination||Branch FEs (Call Centre, Branch, Back Office)"
333,OmniPCX Enterprise(OXE),Call Center,Alcatel-Lucent,App,,Master,Daily Operations,No,Active,Critical,"საკომუნიკაციო სერვერის პლათფორმაზე შექმნილი პროგრამული უზრუნველყოფა, რომელიც უზრუნველყოფს მულტიმედიური ზარების დამუშავებას.",Enables Multimedia calls processing,"Branch FEs (Call Centre, Branch, Back Office)"
334,OTCS,Call Center,Altitude,App,,Master,Daily Operations,No,Active,Critical," წარმოადგენს OXE-ს დამხმარე სისტემას, რომელიც ახდენს კამპანიების მართვას, IVR-ის ფუნქციონალი და ინტეგრაციები სხვა სისტემებთან.","Manages Call Campaigns, Provides IVR functionality and integration with other systems","Branch FEs (Call Centre, Branch, Back Office)"
335,Work Force Optimization,Call Center,Verint,App,,Master,Daily Operations,No,Active,Critical,"წარმოადგენს  სისტემას, რომელიც უზრუნველყოფს სატელეფონო საუბრების შენახვაა, ხმის ბიომეტრიის შენახვას, ხმით ვერიფიკაციას","Stores Call audio records, customer voice biometrics and provides voice verification functionality","Branch FEs (Call Centre, Branch, Back Office)"
336,B6 Front,B6,Alta Software,Web Service,Delphi,Front,Platform Systems,No,Active,Critical,B6-ის Front - ის ნაწილი,Frontend part of B6,"Branch FEs (Call Centre, Branch, Back Office)"
337,Deposits,B6,Alta Software,Web Service,Delphi,Master,Platform Systems,No,Active,Critical,"ანაბრების მართვის სისტემა (ვადიანი ანაბრები, სადეპოზიტო სერტიფიკატები, ანაბარზე დაგროვების ფუნქციონალი - ქისა)","Deposits Management Module (Term Deposist, Certificat of Deposist, Deposit Purse)",Term Deposits
338,Cash Desks,B6,Alta Software,Web Service,Delphi,Master,Platform Systems,No,Active,Critical,ქეშ დესკი მოლარეების მოდული,Cash desk and cashiers module,"Branch FEs (Call Centre, Branch, Back Office)||Cash Management"
339,Standing Orders,B6,Alta Software,Web Service,Delphi,Master,Platform Systems,No,Active,Normal,სთენდინგ ორდერების ფუნქციონალი,Standing Orders module,"Payments (FT, Bill Payments, Remittances)"
340,DEA,B6,Alta Software,Web Service,.Net,Adapter,Platform Systems,No,Active,Normal,მონაცემთა გაცვლის სააგენტოსთან საინტეგრაციო სერვისი,Integration module with Data Exchange Agency,Integration
341,NBE,B6,Alta Software,Web Service,.Net,Adapter,Platform Systems,No,Active,Normal,აღსრულების ეროვნულ ბიუროსთან საინტეგრაციო მოდული,Integration module with National Bureau of Enforcement,Integration
342,PG,LMS,Alta Software,Web Service,.Net,Adapter,Platform Systems,No,Active,Normal,აწარმოე საქართველოსთან საინტეგრაციო სერვისი (სეხების შესახებ ინფორმაციის გაცვლა),Integration module with Produce in Georgia,Credit Product Origination||Loans||Integration
343,KYC,B6,Alta Software,Web Service,.Net,Master,Platform Systems,No,Active,Normal,KYC მოდული,Know Your Customer module,CIF||Compliance
344,CIF,B7,Alta Software,Web Service,.Net,Master,Platform Systems,No,Active,Critical,კლიენტის ცენტრი,Client Information File,CIF
345,tbc.ge (BSC),,BSC,Web App,HTML,Front,Digital Comms CoE,Yes,Active,Normal,თიბისი ბანკის საიტი,TBC Bank Web Site,Others
346,LOS Core,LOS,FICO,Web App,Outsystems,Master||Mediator,Platform Systems,No,Under Development,Critical,საკრედიტო პროდუქტების ინიცირების (origination) სისტემის ძირითადი (Core) ფუნქციონალი,Core Functional of the Loans origination system,Credit Product Origination
347,CBS.Customer.GraphicData,B6,TBC Solutions,Web Service,.Net,Adapter,Platform Systems,No,Active,Critical,კლიენტის გრაფიკული ინფორმაციის ადაპტერ სისტემა,Adapter system for Cusomer Graphic data,CIF
348,LMS.Loan,LMS,TBC Solutions,Web Service,.Net,Adapter,Platform Systems,No,Active,Critical,სესხების ადაპტერ სისტემა,Loan Adapter System,Loans
349,CBS.Catalog,B6,TBC Solutions,Web Service,.Net,Adapter,Platform Systems,No,Active,Critical,ქორ სისტემის კატალოგების ადაპტერ სისტემა,Adapter system for Core Dictionary Info
350,CBS.Account,B6,TBC Solutions,Web Service,.Net,Adapter,Platform Systems,No,Active,Critical,ქორ სისტემის ანგარიშების ადაპტერ სისტემა,Adapter system for Core Account  Info,CASA
351,CBS.Customer,B6,TBC Solutions,Web Service,.Net,Adapter,Platform Systems,No,Active,Critical,ქორ სისტემის კლიენტების ადაპტერ სისტემა,Adapter system for Core Customer  Info,CIF
352,Cards2011.Cards,B6,TBC Solutions,Web Service,.Net,Adapter,Platform Systems,No,Active,Critical,ქორ სისტემის ბარათების განაცხადების ადაპტერ სისტემა,Adapter system for Core Card origination Info,Debit Cards||Credit Cards
353,B7.Querying.CardOriginations.Api,B6,TBC Solutions,Web Service,.Net,Adapter,Platform Systems,No,Active,Critical,ქორ სისტემის ბარათების განაცხადების ადაპტერ სისტემა,Adapter system for Core Card origination Info,Debit Cards||Credit Cards
354,Treasure Pricing System,,TBC Solutions,Web App,.Net,Master,Ent Serv,No,Under Development,Critical,სახაზინო პროდუქტების ფასდადების სისტემა,Pricing for Treasury Products,Treasury
355,Flite,,Deloitte,Web App,R,Master||Reporting,Risks,No,Active,Normal,რეზერვების კალკულაციის ენჯინი (IFRS9-ის შესაბამისი მოდელით),Provisioning calculation engine according to IFRS9 model,DW & Analytics
356,DBS Investments,DBS,TBC Solutions,Web Service,.Net,Mediator,Digital,No,Active,Critical,დიჯიტალ ბანკინგის მედიატორული მოკროსერვისი საინვესტიციო პროდუქტებისთვის,Mediator Microservice for digital banking covering investment products,Self Service Channels
357,Treasury,,TBC Solutions,Web App,.Net,Master||Front,Ent Serv,No,Active,Normal,სახაზინო პროდუქტების  მართვის სისტემა (აღრიცხავს ფასიანი ქაღალდებს),Treasury products master system (covering securities),Treasury
358,HRESignature,,TBC Solutions,Web App,.Net,Master||Front,Ent Serv,No,Active,Normal,ელექტრონული შრომითი ხელშეკრულებების  მართვის სისტემა,Digital Labor contracts management system,Treasury||HRM
359,Digipass Code Verification,,TBC Solutions,Web Service,.Net,Mediator,Digital,Yes,Active,Critical,დიჯიპასით ვერიფიკაციის სერვისი,Verification using Digipass,Op Rsiks & Security
360,Customer Experience Adapter,Customer Experience,TBC Solutions,Web Service,.Net,Mediator,Daily Operations,Yes,Active,Normal,კლიენტების  სერვისების შესახებ გამოკითხვის სისტემის ადაპტერ სუსტემა,adapter system for Customer Experience managments system,Others
361,CX Platform,Customer Experience,Medalia,Web Service,.Net,Mediator,Daily Operations,Yes,Active,Normal,კლიენტების  სერვისების შესახებ გამოკითხვის სისტემა,Customer Experience managments system,Others
